iter	Passed	Remaining
0	1	160
1	2	138
2	3	128
3	4	117
4	6	117
5	7	117
6	8	118
7	10	116
8	11	115
9	12	114
10	13	112
11	15	111
12	16	109
13	17	108
14	18	107
15	20	106
16	21	106
17	22	104
18	24	102
19	25	100
20	26	99
21	27	98
22	29	97
23	30	96
24	31	94
25	32	93
26	34	92
27	35	90
28	36	89
29	37	88
30	39	87
31	40	85
32	41	84
33	42	82
34	43	81
35	45	80
36	46	79
37	47	77
38	48	76
39	49	74
40	51	73
41	51	71
42	52	70
43	54	68
44	55	67
45	56	66
46	57	65
47	59	64
48	60	62
49	61	61
50	62	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	53
56	69	52
57	70	51
58	71	49
59	73	48
60	74	47
61	75	46
62	76	45
63	77	43
64	79	42
65	80	41
66	81	40
67	82	38
68	83	37
69	85	36
70	86	35
71	87	34
72	88	32
73	90	31
74	91	30
75	92	29
76	93	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	103	18
85	104	17
86	106	15
87	107	14
88	108	13
89	109	12
90	111	10
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	118	3
97	119	2
98	120	1
99	124	0
